Type,R,G,B,Difference,Reference,Python,Rust
Hue,17,221,170,5.0,6.2G 7.8/11.3,1.2G 8.9/15.1,6.2G 7.8/11.2
Hue,51,102,170,5.0,4.6PB 4.2/9.1,9.6PB 3.9/17.0,4.6PB 4.2/9.1
Hue,34,102,153,4.9,1.3PB 4.1/7.5,6.2PB 5.0/11.0,1.3PB 4.1/7.5
Hue,34,85,68,4.9,5.3G 3.2/4.7,0.2G 5.1/6.5,5.3G 3.2/4.7
Hue,85,136,255,4.9,6.5PB 5.8/14.6,1.5PB 6.6/11.7,6.6PB 5.8/14.6
Hue,136,238,0,4.9,8.0GY 8.5/15.6,3.1GY 6.8/3.0,8.0GY 8.5/15.6
Hue,170,119,34,4.9,0.8Y 5.3/8.1,5.7Y 7.6/3.1,0.8Y 5.3/8.1
Hue,238,221,187,4.9,6.0Y 8.8/2.9,1.1Y 1.5/2.2,6.0Y 8.8/2.9
Value,238,204,255,7.6,6.0P 8.6/5.5,1.2R 1.0/3.4,6.0P 8.6/5.5
Value,238,221,0,7.6,9.5Y 8.7/12.1,0.8RP 1.1/4.7,9.5Y 8.7/12.1
Value,238,221,17,7.499999999999999,9.5Y 8.7/11.9,3.8P 1.2/6.8,9.5Y 8.7/11.9
Value,238,221,170,7.4,7.2Y 8.8/4.0,3.7Y 1.4/3.1,7.2Y 8.8/4.0
Value,238,221,187,7.300000000000001,6.0Y 8.8/2.9,1.1Y 1.5/2.2,6.0Y 8.8/2.9
Value,221,204,255,7.3,2.2P 8.4/5.1,8.6PB 1.2/9.1,2.2P 8.5/5.1
Value,221,221,34,7.3,1.7GY 8.5/11.5,1.0GY 1.2/3.1,1.7GY 8.5/11.5
Value,221,221,51,7.3,1.8GY 8.5/11.0,1.5GY 1.2/2.2,1.8GY 8.5/11.0
Value,238,221,238,7.3,1.8RP 9.0/1.6,2.4P 1.7/4.0,2.4RP 9.0/-113.7
Value,238,221,34,7.299999999999999,9.4Y 8.7/11.6,1.2P 1.4/8.8,9.4Y 8.7/11.6
Value,221,204,221,7.200000000000001,1.1RP 8.3/1.8,7.9PB 1.1/13.2,2.2RP 8.3/-226.3
Value,238,238,170,7.200000000000001,2.8GY 9.3/6.6,1.8GY 2.1/2.4,3.0GY 9.3/4.9
Value,221,221,0,7.2,1.7GY 8.5/12.1,7.9PB 1.3/11.1,1.7GY 8.5/12.1
Value,238,221,255,7.2,4.8P 9.0/3.2,0.3P 1.8/6.5,4.7P 9.0/3.2
Value,238,238,0,7.199999999999999,1.6GY 9.1/15.5,9.3PB 1.9/8.8,1.7GY 9.1/12.6
Value,238,238,136,7.199999999999999,2.2GY 9.2/9.0,1.2GY 2.0/4.5,2.3GY 9.2/7.1
Value,238,238,153,7.199999999999999,2.5GY 9.2/7.8,1.4GY 2.0/3.7,2.6GY 9.2/6.0
Value,17,255,51,7.1000000000000005,0.2G 8.8/18.4,3.3YR 1.7/7.1,0.2G 8.8/18.4
Value,17,255,68,7.1000000000000005,0.4G 8.8/17.9,1.3YR 1.7/6.6,0.4G 8.8/17.9
Value,17,255,85,7.1000000000000005,0.7G 8.8/17.3,6.7R 1.7/6.4,0.7G 8.8/17.2
Chroma,85,85,102,30062.899999999998,6.2PB 3.6/1.5,4.4PB 3.5/9.1,1.0P 3.6/-30053.8
Chroma,204,187,204,245.7,0.7RP 7.7/1.8,2.6RP 6.5/16.1,2.1RP 7.7/-229.6
Chroma,221,204,221,239.5,1.1RP 8.3/1.8,7.9PB 1.1/13.2,2.2RP 8.3/-226.3
Chroma,85,68,68,122.0,2.3YR 3.0/1.2,1.0G 7.7/15.7,2.4YR 3.0/-106.3
Chroma,238,221,238,117.7,1.8RP 9.0/1.6,2.4P 1.7/4.0,2.4RP 9.0/-113.7
Chroma,187,187,204,97.4,2.8PB 7.6/1.3,0.1R 6.0/12.5,1.1PB 7.6/109.9
Chroma,204,187,170,81.9,3.5Y 7.6/2.0,6.0RP 6.4/14.5,1.5Y 7.6/-67.4
Chroma,204,221,238,74.8,4.5B 8.7/2.1,7.3R 5.3/19.5,0.6PB 8.7/-55.3
Chroma,255,238,255,62.6,2.8RP 9.6/2.6,4.3PB 4.9/9.1,9.9RP 9.6/-53.5
Chroma,85,102,102,61.4,1.0BG 4.1/1.8,0.3PB 6.1/4.8,2.1BG 4.1/-56.6
Chroma,68,51,51,53.9,2.2YR 2.3/1.3,7.3R 2.5/9.0,2.4YR 2.3/-44.9
Chroma,102,119,119,50.8,0.5BG 4.8/1.8,5.5P 4.7/6.3,2.0BG 4.8/-44.5
Chroma,102,85,85,32.4,3.1YR 3.7/1.1,1.8RP 3.8/7.8,0.0Y 3.7/-24.6
Chroma,119,102,102,32.1,3.9YR 4.4/1.1,2.2P 4.4/23.5,0.2Y 4.4/-8.6
Chroma,102,102,119,29.7,5.8PB 4.3/1.5,6.1P 4.3/8.8,5.0PB 4.3/38.5
Chroma,51,51,68,29.400000000000002,7.0PB 2.2/1.7,0.3G 6.8/9.8,5.8PB 2.2/39.2
Chroma,170,153,153,23.400000000000002,6.8YR 6.4/1.1,8.5P 5.4/20.8,0.5Y 6.4/-2.6
Chroma,68,51,0,22.4,5.2Y 2.2/4.5,9.7PB 3.9/26.9,5.2Y 2.2/4.5
Chroma,119,34,255,22.4,9.7PB 4.1/25.6,9.2R 5.2/2.6,9.7PB 4.1/25.0
Chroma,119,102,119,22.299999999999997,9.7P 4.4/1.8,1.6P 4.5/24.9,9.7P 4.4/2.6
Family,0,170,102,GY→G,2.6G 6.0/11.0,6.6GY 3.3/4.0,2.6G 6.0/11.0
Family,0,221,17,PB→GY,9.9GY 7.7/17.6,6.2PB 5.0/13.2,9.9GY 7.6/17.6
Family,0,255,204,PB→G,7.6G 9.0/11.7,8.6PB 2.7/16.6,7.6G 9.0/11.7
Family,0,170,119,GY→G,4.3G 6.1/10.1,9.6GY 3.4/2.8,4.3G 6.1/10.1
Family,0,221,34,PB→G,0.1G 7.7/17.3,6.6PB 5.1/15.0,0.0G 7.7/17.3
Family,0,255,221,PB→BG,0.5BG 9.0/11.1,8.3PB 2.9/18.7,0.5BG 9.0/11.1
Family,0,221,51,PB→G,0.3G 7.7/16.9,6.9PB 5.3/16.8,0.2G 7.7/16.8
Family,0,255,238,PB→BG,3.7BG 9.1/10.9,8.0PB 3.1/20.7,3.7BG 9.0/10.4
Family,0,170,153,B→BG,1.5BG 6.2/8.5,8.5B 3.5/2.2,1.5BG 6.2/8.5
Family,0,221,68,PB→G,0.6G 7.7/16.4,7.8PB 3.3/22.4,0.5G 7.7/16.2
Family,0,255,255,PB→BG,6.6BG 9.1/10.9,4.1PB 3.6/4.1,6.6BG 9.1/10.0
Family,0,170,170,GY→BG,5.4BG 6.2/8.0,7.8GY 5.0/10.9,5.4BG 6.2/8.0
Family,0,221,85,B→G,1.0G 7.7/15.7,0.1B 6.4/6.6,0.9G 7.7/15.5
Family,17,34,0,G→GY,5.8GY 1.1/3.8,1.1G 7.8/14.0,5.8GY 1.1/3.8
Family,17,68,136,GY→PB,5.4PB 2.9/9.0,8.0GY 5.0/10.5,5.4PB 2.9/9.1
Family,17,102,85,B→G,8.0G 3.8/5.8,4.4B 6.4/7.2,8.0G 3.8/5.8
Family,17,34,17,G→GY,8.2GY 1.1/2.9,1.7G 7.8/13.0,8.2GY 1.1/2.9
Family,17,68,153,GY→PB,6.0PB 3.0/11.2,8.4GY 5.0/10.0,6.1PB 3.0/11.2
Family,17,102,102,B→BG,4.3BG 3.8/5.2,8.0B 6.5/8.3,4.3BG 3.8/5.2
Family,17,34,34,G→BG,2.5BG 1.1/2.0,2.5G 7.8/12.0,2.5BG 1.1/2.0
