source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
random,57,12,140,2.2P 4.1/16.8,2.2,P,4.1,16.8,True,8.7PB 1.8/15.6,8.7,PB,1.8,15.6,True,,,,,,3.5,2.3,1.200000000000001,DIFFERENT,Significant differences detected
random,125,114,71,0.3GY 7.2/3.0,0.3,GY,7.2,3.0,True,5.4Y 4.7/3.6,5.4,Y,4.7,3.6,True,,,,,,4.900000000000002,2.5,-0.6000000000000001,DIFFERENT,Significant differences detected
random,52,44,216,9.1PB 5.4/14.6,9.1,PB,5.4,14.6,True,7.4PB 3.4/22.6,7.4,PB,3.4,22.6,True,,,,,,1.6999999999999886,2.0000000000000004,-8.000000000000002,DIFFERENT,Significant differences detected
reference,0,0,0,FAILED,,,,,False,N 0.0,0.0,N,0.0,0.0,True,N 0.0,0.0,N,0.0,0.0,,,,CONVERSION_ISSUES,One or both conversions failed
reference,0,68,119,5.7B 5.3/7.7,5.7,B,5.3,7.7,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,-7.200000000000003,2.5,0.7000000000000002,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,68,8.6G 6.1/9.0,8.6,G,6.1,9.0,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,5.200000000000003,2.3999999999999995,2.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,17,4.5G 3.7/6.8,4.5,G,3.7,6.8,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,3.1000000000000014,2.7,3.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,136,8.0B 5.4/8.6,8.0,B,5.4,8.6,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,-7.099999999999994,2.5000000000000004,-0.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,85,2.5BG 6.1/8.4,2.5,BG,6.1,8.4,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,4.200000000000003,2.3,2.3000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,34,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,1.2999999999999972,2.6999999999999997,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,153,10.0B 5.4/9.6,10.0,B,5.4,9.6,True,5.8PB 3.0/11.3,5.8,PB,3.0,11.3,True,5.8PB 3.0/11.3,5.8,PB,3.0,11.3,-5.799999999999997,2.4000000000000004,-1.700000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,102,5.4BG 6.2/8.0,5.4,BG,6.2,8.0,True,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,True,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,1.1000000000000014,2.4000000000000004,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,51,2.1B 3.9/5.5,2.1,B,3.9,5.5,True,6.6B 1.1/3.1,6.6,B,1.1,3.1,True,6.6B 1.1/3.1,6.6,B,1.1,3.1,-4.499999999999993,2.8,2.4,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,170,1.2PB 5.5/10.5,1.2,PB,5.5,10.5,True,6.2PB 3.1/13.3,6.2,PB,3.1,13.3,True,6.2PB 3.1/13.3,6.2,PB,3.1,13.3,-5.0,2.4,-2.8000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,119,8.4BG 6.2/7.9,8.4,BG,6.2,7.9,True,0.6B 3.9/5.4,0.6,B,3.9,5.4,True,0.6B 3.9/5.4,0.6,B,3.9,5.4,-2.200000000000003,2.3000000000000003,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,68,7.3B 4.0/6.7,7.3,B,4.0,6.7,True,3.4PB 1.3/5.0,3.4,PB,1.3,5.0,True,3.4PB 1.3/5.0,3.4,PB,1.3,5.0,-6.1000000000000085,2.7,1.7000000000000002,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,187,2.3PB 5.5/11.4,2.3,PB,5.5,11.4,True,6.5PB 3.3/15.2,6.5,PB,3.3,15.2,True,6.5PB 3.3/15.2,6.5,PB,3.3,15.2,-4.200000000000003,2.2,-3.799999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,136,1.1B 6.3/7.9,1.1,B,6.3,7.9,True,6.1B 3.9/6.2,6.1,B,3.9,6.2,True,6.1B 3.9/6.2,6.1,B,3.9,6.2,-4.999999999999993,2.4,1.7000000000000002,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,85,0.9PB 4.0/8.1,0.9,PB,4.0,8.1,True,5.5PB 1.4/7.0,5.5,PB,1.4,7.0,True,5.5PB 1.4/7.0,5.5,PB,1.4,7.0,-4.599999999999994,2.6,1.0999999999999996,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,204,3.2PB 5.6/12.3,3.2,PB,5.6,12.3,True,6.7PB 3.5/17.2,6.7,PB,3.5,17.2,True,6.7PB 3.5/17.2,6.7,PB,3.5,17.2,-3.5,2.0999999999999996,-4.899999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,153,3.4B 6.3/8.2,3.4,B,6.3,8.2,True,0.4PB 4.0/7.8,0.4,PB,4.0,7.8,True,0.4PB 4.0/7.8,0.4,PB,4.0,7.8,-7.000000000000007,2.3,0.39999999999999947,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,102,2.8PB 4.1/9.6,2.8,PB,4.1,9.6,True,6.1PB 1.6/9.1,6.1,PB,1.6,9.1,True,6.1PB 1.6/9.1,6.1,PB,1.6,9.1,-3.299999999999997,2.4999999999999996,0.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,221,4.0PB 5.6/13.1,4.0,PB,5.6,13.1,True,6.8PB 3.6/19.2,6.8,PB,3.6,19.2,True,6.8PB 3.6/19.2,6.8,PB,3.6,19.2,-2.799999999999997,1.9999999999999996,-6.1,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,170,5.1B 6.3/8.6,5.1,B,6.3,8.6,True,2.9PB 4.1/9.7,2.9,PB,4.1,9.7,True,2.9PB 4.1/9.7,2.9,PB,4.1,9.7,-7.800000000000011,2.2,-1.0999999999999996,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,119,4.2PB 4.2/11.0,4.2,PB,4.2,11.0,True,6.4PB 1.8/11.3,6.4,PB,1.8,11.3,True,6.4PB 1.8/11.3,6.4,PB,1.8,11.3,-2.200000000000003,2.4000000000000004,-0.3000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,238,4.7PB 5.7/13.9,4.7,PB,5.7,13.9,True,6.9PB 3.8/21.2,6.9,PB,3.8,21.2,True,6.9PB 3.8/21.2,6.9,PB,3.8,21.2,-2.200000000000003,1.9000000000000004,-7.299999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,187,6.9B 6.4/9.3,6.9,B,6.4,9.3,True,4.8PB 4.2/11.7,4.8,PB,4.2,11.7,True,4.8PB 4.2/11.7,4.8,PB,4.2,11.7,-7.8999999999999915,2.2,-2.3999999999999986,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,153,5.6PB 4.3/13.5,5.6,PB,4.3,13.5,True,6.7PB 2.1/15.5,6.7,PB,2.1,15.5,True,6.7PB 2.1/15.5,6.7,PB,2.1,15.5,-1.1000000000000085,2.1999999999999997,-2.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,255,5.1PB 5.7/14.6,5.1,PB,5.7,14.6,True,6.9PB 4.0/23.3,6.9,PB,4.0,23.3,True,6.9PB 4.0/23.3,6.9,PB,4.0,23.3,-1.8000000000000114,1.7000000000000002,-8.700000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,204,8.4B 6.4/9.9,8.4,B,6.4,9.9,True,5.6PB 4.3/13.6,5.6,PB,4.3,13.6,True,5.6PB 4.3/13.6,5.6,PB,4.3,13.6,-7.199999999999989,2.1000000000000005,-3.6999999999999993,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,0,9.3GY 4.4/11.4,9.3,GY,4.4,11.4,True,8.0GY 1.7/6.2,8.0,GY,1.7,6.2,True,8.0GY 1.7/6.2,8.0,GY,1.7,6.2,1.2999999999999972,2.7,5.2,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,0,9.6GY 5.5/13.7,9.6,GY,5.5,13.7,True,8.9GY 3.0/9.4,8.9,GY,3.0,9.4,True,8.9GY 3.0/9.4,8.9,GY,3.0,9.4,0.7000000000000028,2.5,4.299999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,221,9.7B 6.5/10.6,9.7,B,6.5,10.6,True,6.1PB 4.4/15.5,6.1,PB,4.4,15.5,True,6.1PB 4.4/15.5,6.1,PB,4.4,15.5,-6.3999999999999915,2.0999999999999996,-4.9,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,17,2.2G 4.4/8.4,2.2,G,4.4,8.4,True,9.7GY 1.7/5.4,9.7,GY,1.7,5.4,True,9.7GY 1.7/5.4,9.7,GY,1.7,5.4,2.5,2.7,3.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,17,1.2G 5.5/11.1,1.2,G,5.5,11.1,True,9.6GY 3.0/8.8,9.6,GY,3.0,8.8,True,9.6GY 3.0/8.8,9.6,GY,3.0,8.8,1.6000000000000014,2.5,2.299999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,238,0.7PB 6.5/11.2,0.7,PB,6.5,11.2,True,6.4PB 4.6/17.3,6.4,PB,4.6,17.3,True,6.4PB 4.6/17.3,6.4,PB,4.6,17.3,-5.700000000000003,1.9000000000000004,-6.100000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,34,8.1G 4.5/7.0,8.1,G,4.5,7.0,True,3.5G 1.8/4.5,3.5,G,1.8,4.5,True,3.5G 1.8/4.5,3.5,G,1.8,4.5,4.600000000000001,2.7,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,34,3.4G 5.6/9.8,3.4,G,5.6,9.8,True,0.7G 3.0/8.0,0.7,G,3.0,8.0,True,0.7G 3.0/8.0,0.7,G,3.0,8.0,2.6999999999999957,2.5999999999999996,1.8000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,255,1.5PB 6.5/11.8,1.5,PB,6.5,11.8,True,6.6PB 4.7/19.0,6.6,PB,4.7,19.0,True,6.6PB 4.7/19.0,6.6,PB,4.7,19.0,-5.099999999999994,1.7999999999999998,-7.199999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,51,4.6BG 4.6/6.3,4.6,BG,4.6,6.3,True,3.4BG 1.8/3.8,3.4,BG,1.8,3.8,True,3.4BG 1.8/3.8,3.4,BG,1.8,3.8,1.2000000000000028,2.8,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,51,6.9G 5.6/8.7,6.9,G,5.6,8.7,True,2.3G 3.1/6.8,2.3,G,3.1,6.8,True,2.3G 3.1/6.8,2.3,G,3.1,6.8,4.600000000000001,2.4999999999999996,1.8999999999999995,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,0,9.7GY 6.3/15.5,9.7,GY,6.3,15.5,True,9.3GY 4.2/11.2,9.3,GY,4.2,11.2,True,9.3GY 4.2/11.2,9.3,GY,4.2,11.2,0.4000000000000057,2.0999999999999996,4.300000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,68,0.1B 4.6/6.2,0.1,B,4.6,6.2,True,4.0B 1.9/3.8,4.0,B,1.9,3.8,True,4.0B 1.9/3.8,4.0,B,1.9,3.8,-3.8999999999999986,2.6999999999999997,2.4000000000000004,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,68,1.6BG 5.7/7.9,1.6,BG,5.7,7.9,True,7.1G 3.1/5.7,7.1,G,3.1,5.7,True,7.1G 3.1/5.7,7.1,G,3.1,5.7,4.5,2.6,2.2,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,17,0.9G 6.4/13.2,0.9,G,6.4,13.2,True,9.6GY 4.2/10.7,9.6,GY,4.2,10.7,True,9.6GY 4.2/10.7,9.6,GY,4.2,10.7,1.2999999999999972,2.2,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,85,4.5B 4.7/6.7,4.5,B,4.7,6.7,True,1.2PB 2.0/5.3,1.2,PB,2.0,5.3,True,1.2PB 2.0/5.3,1.2,PB,2.0,5.3,-6.700000000000003,2.7,1.4000000000000004,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,85,5.1BG 5.7/7.5,5.1,BG,5.7,7.5,True,4.0BG 3.2/5.0,4.0,BG,3.2,5.0,True,4.0BG 3.2/5.0,4.0,BG,3.2,5.0,1.1000000000000014,2.5,2.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,34,2.2G 6.4/11.8,2.2,G,6.4,11.8,True,0.2G 4.2/10.1,0.2,G,4.2,10.1,True,0.2G 4.2/10.1,0.2,G,4.2,10.1,2.0,2.2,1.700000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,102,7.7B 4.8/7.7,7.7,B,4.8,7.7,True,4.5PB 2.1/7.1,4.5,PB,2.1,7.1,True,4.5PB 2.1/7.1,4.5,PB,2.1,7.1,-6.799999999999997,2.6999999999999997,0.6000000000000005,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,102,8.8BG 5.8/7.4,8.8,BG,5.8,7.4,True,1.2B 3.2/4.7,1.2,B,3.2,4.7,True,1.2B 3.2/4.7,1.2,B,3.2,4.7,-2.4000000000000057,2.5999999999999996,2.7,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,51,3.9G 6.5/10.8,3.9,G,6.5,10.8,True,0.9G 4.3/9.3,0.9,G,4.3,9.3,True,0.9G 4.3/9.3,0.9,G,4.3,9.3,3.0,2.2,1.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,119,0.3PB 4.8/8.9,0.3,PB,4.8,8.9,True,5.7PB 2.2/9.1,5.7,PB,2.2,9.1,True,5.7PB 2.2/9.1,5.7,PB,2.2,9.1,-5.400000000000006,2.5999999999999996,-0.1999999999999993,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,119,1.9B 5.8/7.5,1.9,B,5.8,7.5,True,7.4B 3.3/5.6,7.4,B,3.3,5.6,True,7.4B 3.3/5.6,7.4,B,3.3,5.6,-5.500000000000007,2.5,1.9000000000000004,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,68,6.4G 6.5/9.9,6.4,G,6.5,9.9,True,2.1G 4.3/8.4,2.1,G,4.3,8.4,True,2.1G 4.3/8.4,2.1,G,4.3,8.4,4.299999999999997,2.2,1.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,136,1.8PB 4.9/10.1,1.8,PB,4.9,10.1,True,6.2PB 2.4/11.1,6.2,PB,2.4,11.1,True,6.2PB 2.4/11.1,6.2,PB,2.4,11.1,-4.400000000000006,2.5000000000000004,-1.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,136,4.3B 5.9/7.9,4.3,B,5.9,7.9,True,1.5PB 3.4/7.3,1.5,PB,3.4,7.3,True,1.5PB 3.4/7.3,1.5,PB,3.4,7.3,-7.200000000000003,2.5000000000000004,0.6000000000000005,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,85,9.8G 6.5/9.2,9.8,G,6.5,9.2,True,4.5G 4.3/7.4,4.5,G,4.3,7.4,True,4.5G 4.3/7.4,4.5,G,4.3,7.4,5.299999999999997,2.2,1.799999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,153,3.0PB 4.9/11.2,3.0,PB,4.9,11.2,True,6.5PB 2.5/13.2,6.5,PB,2.5,13.2,True,6.5PB 2.5/13.2,6.5,PB,2.5,13.2,-3.5,2.4000000000000004,-2.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,153,6.4B 5.9/8.6,6.4,B,5.9,8.6,True,4.0PB 3.5/9.2,4.0,PB,3.5,9.2,True,4.0PB 3.5/9.2,4.0,PB,3.5,9.2,-7.599999999999994,2.4000000000000004,-0.5999999999999996,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,102,3.0BG 6.6/8.7,3.0,BG,6.6,8.7,True,9.3G 4.4/6.7,9.3,G,4.4,6.7,True,9.3G 4.4/6.7,9.3,G,4.4,6.7,3.700000000000003,2.1999999999999993,1.9999999999999991,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,170,4.1PB 5.0/12.3,4.1,PB,5.0,12.3,True,6.6PB 2.7/15.2,6.6,PB,2.7,15.2,True,6.6PB 2.7/15.2,6.6,PB,2.7,15.2,-2.5,2.3,-2.8999999999999986,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,170,8.2B 5.9/9.4,8.2,B,5.9,9.4,True,5.4PB 3.6/11.3,5.4,PB,3.6,11.3,True,5.4PB 3.6/11.3,5.4,PB,3.6,11.3,-7.200000000000003,2.3000000000000003,-1.9000000000000004,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,119,5.6BG 6.6/8.4,5.6,BG,6.6,8.4,True,4.6BG 4.4/6.1,4.6,BG,4.4,6.1,True,4.6BG 4.4/6.1,4.6,BG,4.4,6.1,1.0,2.1999999999999993,2.3000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,204,5.3PB 5.1/14.3,5.3,PB,5.1,14.3,True,6.8PB 3.1/19.4,6.8,PB,3.1,19.4,True,6.8PB 3.1/19.4,6.8,PB,3.1,19.4,-1.5,1.9999999999999996,-5.099999999999998,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,187,9.8B 6.0/10.3,9.8,B,6.0,10.3,True,5.9PB 3.7/13.4,5.9,PB,3.7,13.4,True,5.9PB 3.7/13.4,5.9,PB,3.7,13.4,-6.1000000000000085,2.3,-3.0999999999999996,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,136,8.2BG 6.6/8.3,8.2,BG,6.6,8.3,True,0.0B 4.5/6.0,0.0,B,4.5,6.0,True,0.0B 4.5/6.0,0.0,B,4.5,6.0,-1.7999999999999972,2.0999999999999996,2.3000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,51,221,5.6PB 5.1/15.1,5.6,PB,5.1,15.1,True,6.9PB 3.3/21.2,6.9,PB,3.3,21.2,True,6.9PB 3.3/21.2,6.9,PB,3.3,21.2,-1.3000000000000114,1.7999999999999998,-6.1,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,204,0.9PB 6.0/11.0,0.9,PB,6.0,11.0,True,6.3PB 3.9/15.5,6.3,PB,3.9,15.5,True,6.3PB 3.9/15.5,6.3,PB,3.9,15.5,-5.3999999999999915,2.1,-4.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,153,0.5B 6.7/8.3,0.5,B,6.7,8.3,True,5.0B 4.5/6.7,5.0,B,4.5,6.7,True,5.0B 4.5/6.7,5.0,B,4.5,6.7,-4.5,2.2,1.6000000000000005,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,0,9.5GY 5.0/12.8,9.5,GY,5.0,12.8,True,8.6GY 2.4/8.0,8.6,GY,2.4,8.0,True,8.6GY 2.4/8.0,8.6,GY,2.4,8.0,0.8999999999999986,2.6,4.800000000000001,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,221,1.8PB 6.1/11.7,1.8,PB,6.1,11.7,True,6.6PB 4.0/17.6,6.6,PB,4.0,17.6,True,6.6PB 4.0/17.6,6.6,PB,4.0,17.6,-4.799999999999997,2.0999999999999996,-5.900000000000002,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,170,2.7B 6.7/8.5,2.7,B,6.7,8.5,True,9.2B 4.6/8.0,9.2,B,4.6,8.0,True,9.2B 4.6/8.0,9.2,B,4.6,8.0,-6.5,2.1000000000000005,0.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,17,1.6G 5.0/10.0,1.6,G,5.0,10.0,True,9.5GY 2.4/7.4,9.5,GY,2.4,7.4,True,9.5GY 2.4/7.4,9.5,GY,2.4,7.4,2.1000000000000014,2.6,2.5999999999999996,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,238,2.6PB 6.1/12.4,2.6,PB,6.1,12.4,True,6.7PB 4.2/19.2,6.7,PB,4.2,19.2,True,6.7PB 4.2/19.2,6.7,PB,4.2,19.2,-4.1000000000000085,1.8999999999999995,-6.799999999999999,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,187,4.3B 6.8/8.9,4.3,B,6.8,8.9,True,1.8PB 4.7/9.8,1.8,PB,4.7,9.8,True,1.8PB 4.7/9.8,1.8,PB,4.7,9.8,-7.5,2.0999999999999996,-0.9000000000000004,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,34,4.7G 5.1/8.5,4.7,G,5.1,8.5,True,1.2G 2.4/6.5,1.2,G,2.4,6.5,True,1.2G 2.4/6.5,1.2,G,2.4,6.5,3.5,2.6999999999999997,2.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,85,255,3.3PB 6.2/13.1,3.3,PB,6.2,13.1,True,6.8PB 4.3/21.0,6.8,PB,4.3,21.0,True,6.8PB 4.3/21.0,6.8,PB,4.3,21.0,-3.5,1.9000000000000004,-7.9,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,119,204,5.8B 6.8/9.3,5.8,B,6.8,9.3,True,3.8PB 4.8/11.7,3.8,PB,4.8,11.7,True,3.8PB 4.8/11.7,3.8,PB,4.8,11.7,-8.0,2.0,-2.3999999999999986,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,51,0.3BG 5.1/7.5,0.3,BG,5.1,7.5,True,5.5G 2.5/5.3,5.5,G,2.5,5.3,True,5.5G 2.5/5.3,5.5,G,2.5,5.3,4.799999999999997,2.5999999999999996,2.2,RUST_MATCHES_REF,Rust matches reference exactly
